timestamp1,timestamp2,timestamp3,
208874,415457,526748,
422415,300081,270832,
248082,245208,243957,
244124,244165,248124,
248165,247499,243457,
245124,245582,245707,
242374,241791,241207,
242540,242165,242249,
243958,246041,246707,
244748,244998,244499,
243958,241999,241957,
241624,271457,276374,
278123,256207,252915,
251666,245583,244041,
244207,242165,242040,
241124,241291,241374,
241749,241582,241332,
243248,243665,245874,
243999,244166,242291,
242374,241874,241790,
241749,241540,242166,
242707,244249,245290,
247082,245416,244082,
241707,241832,241624,
241624,241332,241166,
241207,241415,240749,
242708,245041,245040,
243082,240957,507831,
517747,520289,254874,
246124,246416,246499,
246541,244207,243957,
243540,243790,243832,
243749,243708,243582,
243082,242582,242874,
245082,245040,244457,
242333,242207,242249,
242415,242833,243166,
242707,242457,242248,
244207,245540,245749,
243708,242666,241874,
242498,241832,242207,
242333,242916,242874,
242415,244248,246291,
273707,275124,273123,
245416,241707,241458,
241582,241291,240998,
240915,240957,243374,
251541,253207,251124,
243040,241499,241707,
241582,241624,241332,
240708,240749,240416,
242998,243248,244749,
242916,242833,241124,
240749,240540,240748,
240832,240957,240749,
240832,242708,243749,
243332,243415,243207,
243541,241582,240332,
240499,240291,240874,
240582,272457,284874,
292082,273540,268207,
266957,259332,257790,
257790,257874,258333,
258541,258249,258748,
258707,259332,264582,
264499,264624,258624,
258332,257415,256999,
256707,257082,257707,
258332,258332,273665,
275040,275166,259541,
258041,257082,256749,
256040,256415,259498,
259916,259707,257041,
258290,259457,259457,
258291,258291,268874,
271457,271248,262207,
260332,260166,258999,
272123,274082,273832,
260457,258082,258207,
257583,258457,258498,
380873,386957,388707,
273040,267082,265832,
259457,259748,258999,
261582,260624,261040,
258874,259207,258874,
259207,260582,260915,
260332,258333,257791,
259874,260790,260165,
257707,257374,258207,
258291,294540,297374,
298748,262707,260290,
261582,261124,260791,
257999,258540,258832,
259374,259707,260707,
261040,260374,259082,
260332,260124,259999,
258541,258207,258165,
257790,257874,260207,
260499,260457,258499,
260707,260957,260916,
258207,257999,257582,
257957,257748,264207,
266207,266749,260207,
260291,260457,260540,
257998,257374,261874,
262749,262915,258915,
259791,261458,261541,
261957,260623,260249,
258457,258707,258373,
258540,258666,259082,
258457,259707,258791,
258666,256832,257665,
258249,258124,257916,
257623,257790,258082,
257874,258416,259999,
260457,262415,260707,
260499,257416,257290,
257165,257623,257541,
257624,258082,259748,
261124,262708,261582,
287415,287873,287999,
260957,258582,257874,
257791,257707,267415,
269749,270332,261124,
258748,257916,258082,
257957,257874,257124,
257332,257748,258624,
259416,263166,263165,
262999,259624,259332,
259248,258707,258166,
258041,258207,258415,
258582,263665,263957,
263874,258832,258332,
257665,257499,258124,
259041,259082,258874,
258457,270541,272873,
273290,261582,259624,
258874,257957,257791,
257832,258165,258415,
258290,260124,261082,
262916,261832,259957,
257915,256790,257416,
257874,258958,258998,
258999,260540,260583,
261707,261290,261248,
260290,258666,258082,
257582,256999,256916,
257082,259332,259582,
259291,259082,259290,
