Irms1,Irms2,Irms3,
0.226967,0.229239,0.230176,
0.231963,0.232745,0.233782,
0.237349,0.237156,0.237762,
0.235786,0.236360,0.236226,
0.233423,0.234055,0.233595,
0.234713,0.234279,0.235098,
0.230819,0.229327,0.230005,
0.233452,0.233335,0.232793,
0.234717,0.235179,0.235693,
0.235025,0.234766,0.235588,
0.235728,0.235792,0.236966,
0.235217,0.236598,0.237197,
0.229697,0.229968,0.230639,
0.232568,0.230486,0.231482,
0.231618,0.231908,0.231069,
0.235276,0.235415,0.235926,
0.233274,0.234953,0.236223,
0.236089,0.236259,0.235079,
0.233591,0.233346,0.233600,
0.233949,0.233657,0.233732,
0.233445,0.234362,0.233775,
0.236696,0.237304,0.237284,
0.235998,0.235600,0.236737,
0.235275,0.235272,0.235417,
0.236595,0.234424,0.234120,
0.237878,0.238062,0.239164,
0.233333,0.233455,0.234073,
0.232331,0.232336,0.232003,
0.234466,0.233358,0.234232,
0.235186,0.235499,0.236084,
0.234276,0.234661,0.234656,
0.238968,0.239821,0.240519,
0.235043,0.235809,0.235483,
0.233844,0.234245,0.233704,
0.232977,0.232109,0.232787,
0.231507,0.231603,0.231753,
0.234146,0.233779,0.233996,
0.234885,0.235276,0.234319,
0.232250,0.231182,0.230794,
0.232661,0.232874,0.232700,
0.235204,0.234047,0.234597,
0.233770,0.233554,0.234770,
0.232612,0.232880,0.232760,
0.233001,0.231373,0.232804,
0.233910,0.233525,0.234064,
0.233717,0.234447,0.233367,
0.232612,0.232463,0.232961,
0.237139,0.236589,0.237662,
0.233786,0.234039,0.233775,
0.231767,0.230962,0.231737,
0.235706,0.235393,0.235363,
0.236075,0.236786,0.235952,
0.236517,0.236606,0.237541,
0.235557,0.235338,0.235570,
0.234301,0.234217,0.234182,
0.233108,0.233802,0.233794,
0.233847,0.233828,0.233833,
0.231885,0.232463,0.232805,
0.234603,0.235559,0.235682,
0.236525,0.237374,0.238011,
0.233849,0.234112,0.234499,
0.233749,0.233728,0.233557,
0.234411,0.234423,0.234459,
0.235014,0.234383,0.235392,
0.236117,0.236693,0.235261,
0.234851,0.234535,0.234313,
0.236706,0.235781,0.236412,
0.234734,0.235298,0.235519,
0.237010,0.237164,0.237499,
0.234881,0.234456,0.234479,
0.235406,0.235759,0.236064,
0.234722,0.235047,0.235042,
0.236582,0.235551,0.235799,
0.236156,0.236300,0.237608,
0.236709,0.237074,0.236051,
0.233713,0.233152,0.232730,
0.233953,0.234937,0.234618,
0.234861,0.234920,0.234671,
0.236003,0.236279,0.236074,
0.234125,0.234348,0.234220,
0.236524,0.236396,0.236490,
0.233379,0.233049,0.233407,
0.235968,0.236333,0.237099,
0.234769,0.233784,0.234054,
0.234433,0.236108,0.235580,
0.236708,0.237101,0.237376,
0.232379,0.232882,0.232914,
0.235920,0.236339,0.235434,
0.233069,0.233152,0.233679,
0.232204,0.232797,0.232110,
0.233652,0.233908,0.233301,
0.234075,0.234303,0.234625,
0.230011,0.229609,0.229559,
0.233632,0.233928,0.234024,
0.232246,0.232574,0.232544,
0.237147,0.236024,0.238441,
0.233939,0.233223,0.233512,
0.234597,0.234267,0.234225,
0.233165,0.232079,0.232935,
0.234416,0.235833,0.235957,
0.234868,0.234783,0.235520,
0.237996,0.236518,0.236740,
0.234567,0.234922,0.234594,
0.233341,0.232586,0.233320,
0.235239,0.233945,0.235284,
0.233039,0.233366,0.233361,
0.234215,0.235154,0.235789,
0.235482,0.235861,0.236015,
0.233932,0.234694,0.234543,
0.233637,0.233537,0.233616,
0.237250,0.235129,0.236746,
0.239205,0.239610,0.239689,
0.234581,0.234646,0.234560,
0.236590,0.235307,0.236377,
0.231711,0.231737,0.233671,
0.233781,0.234663,0.235454,
0.233910,0.236026,0.234366,
0.240670,0.241615,0.241210,
0.233166,0.234311,0.233831,
0.232435,0.232461,0.233176,
0.234448,0.233827,0.234244,
0.235093,0.236114,0.235733,
0.234051,0.234943,0.234550,
0.231796,0.231910,0.233006,
0.235274,0.235664,0.235926,
0.237159,0.237482,0.236623,
0.234352,0.234006,0.234758,
0.233310,0.231828,0.233450,
0.234521,0.234975,0.235119,
0.231830,0.232359,0.231740,
0.236875,0.236492,0.237381,
0.234821,0.235625,0.235937,
0.234137,0.234380,0.234722,
0.237002,0.236576,0.236983,
0.235695,0.236097,0.235852,
0.229061,0.230513,0.229559,
0.233923,0.233791,0.234499,
0.232974,0.233856,0.234875,
0.234675,0.235288,0.234497,
0.235746,0.235154,0.235377,
0.235749,0.236115,0.236430,
0.233104,0.233476,0.233471,
0.235934,0.236239,0.236780,
0.234705,0.234763,0.235540,
0.235936,0.235297,0.235483,
0.234284,0.235466,0.236184,
0.235622,0.235854,0.237026,
0.235050,0.235178,0.235374,
0.235198,0.235200,0.235098,
0.232251,0.232608,0.232255,
0.232421,0.233303,0.233848,
0.233274,0.234687,0.234320,
0.234971,0.235607,0.236029,
0.236465,0.236220,0.236140,
0.238801,0.238266,0.237513,
0.234020,0.232335,0.232961,
0.234155,0.233840,0.233506,
0.233127,0.233839,0.234500,
0.235603,0.235303,0.236634,
