Irms1,Irms2,Irms3,
0.229852,0.229275,0.228998,
0.225291,0.225066,0.225380,
0.225956,0.225014,0.226214,
0.229108,0.230306,0.230068,
0.224458,0.224037,0.225083,
0.222372,0.222722,0.222119,
0.228036,0.227774,0.228488,
0.228422,0.228202,0.228294,
0.227679,0.226987,0.227703,
0.229760,0.229376,0.229955,
0.224711,0.224574,0.224155,
0.221740,0.222675,0.221626,
0.227078,0.226667,0.226626,
0.229482,0.229003,0.229938,
0.226905,0.227699,0.227430,
0.230279,0.230138,0.231119,
0.227097,0.226594,0.226358,
0.221679,0.222377,0.222482,
0.227600,0.226883,0.227490,
0.232009,0.231813,0.232175,
0.224601,0.224589,0.223808,
0.226729,0.226833,0.226880,
0.228481,0.230404,0.230212,
0.227064,0.227528,0.227714,
0.225976,0.226633,0.225682,
0.224383,0.225639,0.225341,
0.230478,0.230595,0.230475,
0.225352,0.225002,0.225876,
0.224291,0.224602,0.225191,
0.232695,0.232483,0.233303,
0.224228,0.223519,0.224418,
0.225544,0.225122,0.224891,
0.229472,0.229498,0.228784,
0.227561,0.226742,0.227157,
0.224596,0.225432,0.225276,
0.225824,0.225612,0.226966,
0.231547,0.230871,0.230777,
0.225177,0.225672,0.225352,
0.223423,0.223615,0.224208,
0.232356,0.231905,0.232255,
0.223905,0.224239,0.223260,
0.224484,0.224486,0.225051,
0.231828,0.231188,0.231432,
0.226815,0.225530,0.225940,
0.226074,0.225311,0.226812,
0.228075,0.227924,0.227217,
0.228515,0.227753,0.228339,
0.226155,0.226121,0.226276,
0.226189,0.226412,0.226780,
0.230925,0.229811,0.230788,
0.225630,0.224664,0.225408,
0.222970,0.223755,0.224049,
0.233081,0.232817,0.232192,
0.223951,0.223346,0.224481,
0.224195,0.224847,0.223627,
0.230961,0.232599,0.231773,
0.225546,0.225925,0.226021,
0.225453,0.225661,0.226508,
0.225476,0.225725,0.227237,
0.229665,0.229380,0.230484,
0.223357,0.224578,0.224611,
0.224850,0.224793,0.224042,
0.232970,0.233143,0.232700,
0.224610,0.225078,0.223507,
0.223660,0.223883,0.223751,
0.232042,0.231800,0.232346,
0.223376,0.224088,0.222618,
0.224485,0.225321,0.224328,
0.229213,0.229162,0.230603,
0.228278,0.226466,0.228025,
0.227349,0.225917,0.226821,
0.226137,0.225263,0.226156,
0.231404,0.231100,0.231143,
0.223711,0.223798,0.224565,
0.224472,0.223963,0.224259,
0.231157,0.231460,0.231983,
0.226317,0.226639,0.224649,
0.226047,0.227487,0.226132,
0.225390,0.226296,0.227004,
0.231217,0.230081,0.229752,
0.223950,0.223942,0.224748,
0.223932,0.223548,0.223588,
0.232816,0.232407,0.232505,
0.224531,0.224451,0.223707,
0.227345,0.226611,0.225893,
0.227848,0.227187,0.228244,
0.227774,0.228035,0.228042,
0.224403,0.225012,0.225052,
0.224134,0.224728,0.225320,
0.232326,0.232876,0.232694,
0.225536,0.224204,0.224363,
0.224538,0.223814,0.224352,
0.231493,0.231419,0.231499,
0.224523,0.224750,0.223701,
0.226204,0.224991,0.225552,
0.229668,0.229469,0.229330,
0.227714,0.227509,0.226923,
0.226031,0.225559,0.226796,
0.225597,0.224506,0.223967,
0.231690,0.231805,0.231649,
0.224341,0.223973,0.223895,
0.224538,0.223250,0.223611,
0.232098,0.232898,0.232114,
0.224410,0.224733,0.225130,
0.225241,0.225452,0.225892,
0.229397,0.229357,0.229664,
0.226719,0.225766,0.226338,
0.226396,0.225356,0.225152,
0.226036,0.225327,0.226699,
0.230336,0.229180,0.230651,
0.225624,0.226317,0.225710,
0.224988,0.224383,0.225313,
0.232348,0.231513,0.232505,
0.223619,0.224700,0.223492,
0.223569,0.223751,0.222328,
0.231755,0.232582,0.232273,
0.223375,0.224384,0.224720,
0.225751,0.225411,0.225091,
0.230056,0.231792,0.231443,
0.225308,0.225984,0.225303,
0.226369,0.225747,0.225480,
0.226241,0.224353,0.226557,
0.230882,0.230380,0.231027,
0.224047,0.224417,0.224898,
0.223452,0.223819,0.223594,
0.232018,0.231080,0.232613,
0.226078,0.224616,0.224550,
0.226149,0.225412,0.225662,
0.225546,0.226216,0.225668,
0.231375,0.230089,0.231065,
0.224571,0.225472,0.223781,
0.225154,0.224121,0.224930,
0.231910,0.232078,0.232685,
0.223428,0.224236,0.223045,
0.226577,0.226523,0.225766,
0.229180,0.228469,0.228472,
0.228798,0.228198,0.227391,
0.226830,0.226637,0.227021,
0.223494,0.224840,0.223905,
0.232035,0.231826,0.232493,
0.224102,0.223194,0.223584,
0.224619,0.225838,0.225991,
0.228105,0.227754,0.228096,
0.228628,0.228586,0.229426,
0.226735,0.226054,0.225497,
0.224943,0.225247,0.224463,
0.232870,0.232692,0.233006,
0.223383,0.223220,0.223674,
0.225771,0.225444,0.224964,
0.228428,0.228963,0.230697,
0.226435,0.227441,0.226336,
0.227006,0.227637,0.227136,
0.226104,0.225849,0.225461,
0.232712,0.231232,0.232656,
0.223671,0.224008,0.223569,
0.225113,0.225156,0.225375,
0.229540,0.229697,0.229873,
0.227855,0.225435,0.226537,
0.226161,0.227704,0.227366,
0.226893,0.226497,0.227036,
0.230130,0.230315,0.229311,
0.224606,0.225457,0.224651,
0.223673,0.224135,0.224112,
0.231215,0.232480,0.232171,
0.223443,0.225023,0.224876,
0.225740,0.224836,0.225014,
0.231147,0.230759,0.231802,
0.225767,0.224990,0.226280,
0.227481,0.226059,0.225857,
0.225983,0.225288,0.225968,
0.231280,0.231911,0.230747,
0.224349,0.224305,0.224856,
0.224766,0.224966,0.225218,
0.230344,0.230866,0.231474,
0.225110,0.225121,0.225687,
0.226366,0.226546,0.226244,
0.224425,0.223993,0.224857,
0.233189,0.231067,0.231980,
0.225271,0.224168,0.224613,
0.224575,0.224882,0.224075,
0.231034,0.232096,0.231364,
0.223855,0.224685,0.224534,
0.227021,0.226020,0.226022,
0.227299,0.227377,0.227238,
0.229137,0.229715,0.229690,
0.226049,0.225735,0.225980,
0.224422,0.225864,0.224142,
0.232768,0.233424,0.231102,
0.223059,0.224135,0.222931,
0.225310,0.224803,0.225310,
0.228686,0.229617,0.230119,
0.228100,0.227371,0.227042,
0.226357,0.225968,0.227312,
0.225602,0.225623,0.224985,
0.232152,0.231063,0.231083,
0.223842,0.224176,0.224005,
0.223590,0.223565,0.223682,
0.231312,0.230620,0.231092,
0.224611,0.224719,0.224654,
0.224764,0.225464,0.226243,
0.230026,0.229725,0.230067,
0.227651,0.227987,0.227576,
0.226854,0.225949,0.226772,
0.222653,0.224598,0.223881,
0.232025,0.232262,0.232395,
0.223643,0.223638,0.224075,
0.226960,0.226961,0.225297,
0.229027,0.229207,0.228351,
0.228994,0.228768,0.227755,
0.225240,0.224860,0.225184,
0.224393,0.224080,0.224644,
0.233851,0.233496,0.233457,
0.224345,0.223626,0.223229,
0.224910,0.226279,0.225618,
0.229268,0.228205,0.229968,
0.228218,0.227931,0.227520,
0.225471,0.226209,0.226073,
0.224571,0.224397,0.224492,
0.232376,0.232294,0.232647,
0.225659,0.224942,0.225892,
0.225337,0.224829,0.224157,
0.231258,0.231763,0.231601,
0.224283,0.224158,0.225159,
0.225792,0.226353,0.225703,
0.228289,0.228390,0.228849,
0.229122,0.228821,0.228743,
0.226085,0.225836,0.225861,
0.225318,0.223973,0.224896,
0.232471,0.233364,0.232334,
0.224371,0.223727,0.223447,
0.224766,0.224590,0.225003,
0.228400,0.230009,0.229427,
0.227972,0.227789,0.228077,
0.227177,0.226486,0.226178,
0.224687,0.224905,0.224792,
0.232272,0.231781,0.231679,
0.222473,0.223321,0.223605,
0.224239,0.223160,0.223860,
0.231204,0.231022,0.230995,
0.225904,0.227192,0.226796,
0.226297,0.227350,0.226345,
0.226022,0.225747,0.225907,
0.231535,0.231208,0.231041,
0.223980,0.224244,0.224479,
0.223089,0.223191,0.224082,
0.231593,0.232733,0.232004,
0.224725,0.223955,0.224750,
0.226126,0.225285,0.225539,
0.228853,0.229162,0.228983,
0.226643,0.227168,0.226431,
0.226136,0.226833,0.225445,
0.225996,0.225297,0.224965,
0.231594,0.230529,0.230520,
0.225555,0.226119,0.224871,
0.224673,0.224600,0.224473,
0.232359,0.232859,0.232424,
0.224173,0.224117,0.223963,
0.223965,0.223251,0.224329,
0.232499,0.232383,0.232001,
0.224584,0.224237,0.223912,
0.226837,0.225716,0.225910,
0.230205,0.229546,0.230674,
0.226080,0.225828,0.226345,
0.226798,0.225955,0.226385,
0.225913,0.225054,0.225887,
0.231060,0.231063,0.229847,
0.224599,0.224933,0.225805,
0.224973,0.224029,0.225170,
0.232440,0.232527,0.232752,
0.224076,0.224707,0.224412,
0.226210,0.227354,0.225972,
0.227890,0.228662,0.227407,
0.227439,0.227439,0.227809,
0.226620,0.226641,0.226904,
0.225984,0.226904,0.226661,
0.231198,0.229678,0.230248,
0.225100,0.223950,0.224869,
0.224023,0.222854,0.224360,
0.232000,0.232013,0.232329,
0.225025,0.224978,0.223646,
0.225098,0.223209,0.224392,
0.233384,0.232884,0.233671,
0.224113,0.224167,0.224205,
0.225716,0.224108,0.225163,
0.229166,0.229268,0.230352,
0.228301,0.226919,0.227219,
0.225794,0.225643,0.225595,
