Irms1,Irms2,Irms3,
0.235632,0.235163,0.235131,
0.236674,0.236404,0.236528,
0.231535,0.231385,0.231650,
0.233906,0.234011,0.234148,
0.235362,0.233723,0.233885,
0.234615,0.234940,0.235056,
0.233735,0.233821,0.233869,
0.233948,0.233910,0.234174,
0.231124,0.231250,0.230884,
0.235833,0.236264,0.235986,
0.234205,0.234530,0.234563,
0.233302,0.232938,0.233177,
0.232630,0.232960,0.232057,
0.233031,0.232922,0.232283,
0.237574,0.237564,0.239290,
0.235875,0.235552,0.235813,
0.236145,0.236517,0.237099,
0.233685,0.234636,0.234749,
0.236281,0.234878,0.234401,
0.232745,0.233345,0.233115,
0.236431,0.237139,0.237055,
0.236041,0.234977,0.235588,
0.236135,0.233515,0.233024,
0.232563,0.232622,0.232907,
0.232596,0.232268,0.232499,
0.235290,0.235910,0.235124,
0.238604,0.238682,0.238522,
0.236150,0.235108,0.235306,
0.231703,0.231706,0.232365,
0.232220,0.234074,0.234190,
0.233316,0.233792,0.234606,
0.232111,0.231993,0.232132,
0.236066,0.236502,0.236854,
0.235145,0.236035,0.236168,
0.233964,0.233280,0.233627,
0.233186,0.233479,0.233592,
0.231910,0.232929,0.234870,
0.235688,0.235847,0.236339,
0.231594,0.231586,0.231593,
0.237725,0.237400,0.237524,
0.235784,0.235762,0.237300,
0.234580,0.235146,0.234889,
0.235769,0.236786,0.235867,
0.236672,0.235278,0.235655,
0.231669,0.230855,0.231146,
0.231099,0.233134,0.233369,
0.235103,0.235361,0.234856,
0.234724,0.235292,0.235460,
0.233979,0.233823,0.234099,
0.234360,0.232875,0.234225,
0.233102,0.233940,0.234497,
0.230473,0.230378,0.230575,
0.233230,0.232313,0.233198,
0.234051,0.234126,0.235725,
0.236023,0.235483,0.235215,
0.234218,0.233409,0.233715,
0.234392,0.234282,0.234376,
0.232741,0.231982,0.232320,
0.235254,0.235355,0.235246,
0.234245,0.234920,0.235219,
0.236867,0.236112,0.235361,
0.237755,0.237422,0.236573,
0.236035,0.236824,0.235864,
0.239508,0.239732,0.239995,
0.233803,0.233716,0.233431,
0.232740,0.232865,0.231943,
0.233896,0.232877,0.232956,
