Irms1,Irms2,Irms3,
0.224532,0.224599,0.223911,
0.231571,0.231945,0.232436,
0.224986,0.225741,0.225890,
0.227530,0.226365,0.226683,
0.225310,0.226331,0.225382,
0.231023,0.231773,0.231793,
0.225212,0.225566,0.226165,
0.222654,0.224485,0.223624,
0.233913,0.233002,0.233293,
0.224654,0.223146,0.224187,
0.225495,0.225395,0.224959,
0.230874,0.230414,0.231131,
0.225572,0.225927,0.225739,
0.226843,0.226825,0.225971,
0.227625,0.226189,0.226969,
0.230982,0.230895,0.231001,
0.224674,0.224315,0.225574,
0.223220,0.224091,0.223510,
0.231928,0.232618,0.232415,
0.223913,0.224322,0.224455,
0.227372,0.226314,0.226266,
0.229058,0.229455,0.229690,
0.228154,0.226577,0.227230,
0.226389,0.225991,0.226021,
0.224808,0.225897,0.226620,
0.230640,0.231416,0.229918,
0.225474,0.225226,0.225804,
0.224805,0.225550,0.224675,
0.229281,0.230682,0.231139,
0.227547,0.227159,0.227563,
0.225999,0.226252,0.226097,
0.224667,0.224026,0.223056,
0.233314,0.233195,0.232566,
0.225398,0.223990,0.225416,
0.225145,0.225237,0.225965,
0.230863,0.231440,0.230913,
0.225398,0.225433,0.226733,
0.226021,0.225811,0.225535,
0.226959,0.226488,0.227529,
0.229927,0.229380,0.229658,
0.225307,0.226527,0.226356,
0.225709,0.225222,0.226079,
0.231854,0.232222,0.232025,
0.223350,0.224439,0.223460,
0.224218,0.223707,0.224217,
0.232460,0.232216,0.232432,
0.223660,0.224076,0.223883,
0.225684,0.226088,0.225881,
0.230574,0.230493,0.229983,
0.226882,0.225767,0.227076,
0.227265,0.227095,0.226455,
0.225692,0.226724,0.226729,
0.230935,0.230491,0.229898,
0.225784,0.225006,0.224982,
0.224281,0.223652,0.225308,
0.232539,0.233473,0.232990,
0.224182,0.224085,0.223755,
0.225307,0.224872,0.224519,
0.229189,0.229077,0.230259,
0.227068,0.226390,0.226044,
0.226321,0.225810,0.227160,
0.226399,0.227013,0.227064,
0.231055,0.230886,0.231011,
0.225285,0.225277,0.225631,
0.224382,0.223430,0.223242,
0.230317,0.231773,0.231960,
0.226239,0.225681,0.226152,
0.226558,0.227036,0.226290,
0.224255,0.224580,0.225292,
0.232838,0.232916,0.232674,
0.223778,0.223439,0.223854,
0.225683,0.224831,0.225359,
0.229058,0.228729,0.229404,
0.228882,0.228603,0.228439,
0.226288,0.225877,0.225989,
0.224658,0.223902,0.224192,
0.232577,0.232469,0.231446,
0.225423,0.226020,0.224833,
0.227283,0.225117,0.225970,
0.226002,0.226881,0.227511,
0.230168,0.230569,0.229970,
0.225961,0.225151,0.225245,
0.223830,0.224860,0.224791,
0.233143,0.233137,0.233605,
0.223170,0.224282,0.224041,
0.224839,0.225309,0.225295,
0.229492,0.230160,0.230563,
0.227717,0.227132,0.226939,
0.228016,0.226657,0.227452,
0.224870,0.224329,0.225763,
0.231855,0.232496,0.231927,
0.223445,0.223797,0.223868,
0.224837,0.224868,0.225458,
0.228177,0.228711,0.229624,
0.228627,0.228457,0.228606,
0.227163,0.226204,0.226039,
0.224217,0.223513,0.224687,
0.232369,0.232698,0.232858,
0.225211,0.224034,0.224712,
0.225521,0.225744,0.226008,
0.226279,0.225620,0.226638,
0.232022,0.230935,0.231236,
0.224888,0.224876,0.225139,
0.224724,0.224342,0.225181,
0.229396,0.229293,0.230779,
0.226814,0.226719,0.226788,
0.225463,0.224663,0.225685,
0.223312,0.223716,0.223783,
0.232589,0.232484,0.232183,
0.224114,0.223951,0.223735,
0.224714,0.225568,0.224552,
0.232648,0.231911,0.232626,
0.225044,0.224876,0.223471,
0.226424,0.225016,0.226473,
0.226977,0.227294,0.228288,
0.230306,0.229146,0.230835,
0.226447,0.227049,0.225791,
0.223446,0.224008,0.223554,
0.233435,0.231935,0.233087,
0.223779,0.224125,0.223567,
0.226165,0.226066,0.226492,
0.230057,0.229918,0.229723,
0.227910,0.224714,0.225872,
0.227217,0.226854,0.226642,
0.225965,0.226348,0.226478,
0.230341,0.230920,0.230121,
0.225077,0.224248,0.224626,
0.223162,0.223700,0.224592,
0.231830,0.232549,0.231830,
0.224574,0.223577,0.224862,
0.225833,0.225632,0.225190,
0.230044,0.229324,0.229836,
0.226110,0.226390,0.226120,
0.228401,0.229272,0.228830,
0.228035,0.227776,0.228854,
0.223266,0.222765,0.222627,
0.224036,0.224030,0.224623,
0.230568,0.230771,0.230267,
0.228183,0.227678,0.227831,
0.226940,0.227380,0.226522,
0.229904,0.229347,0.230106,
0.224288,0.222584,0.223450,
0.223348,0.224020,0.223184,
0.230768,0.229480,0.230423,
0.227762,0.228614,0.228005,
0.227964,0.227314,0.227572,
0.229099,0.228241,0.229621,
0.223802,0.223419,0.223981,
0.224435,0.224000,0.223679,
0.228362,0.227558,0.227295,
0.226382,0.226204,0.226926,
0.230151,0.230656,0.229967,
0.228538,0.228176,0.227834,
0.225601,0.225589,0.226546,
0.224668,0.224403,0.224153,
0.232247,0.232722,0.232326,
0.225147,0.224981,0.225027,
0.226323,0.225437,0.226933,
0.228522,0.227880,0.228458,
0.229457,0.229595,0.230309,
0.225600,0.226308,0.225321,
0.223871,0.224316,0.224162,
0.232812,0.232170,0.232861,
0.223636,0.223012,0.223692,
0.225567,0.226817,0.225939,
0.228157,0.227722,0.228476,
0.230209,0.229363,0.229943,
0.225193,0.225704,0.224635,
0.223453,0.223834,0.223586,
0.231305,0.231552,0.231113,
0.224659,0.224788,0.224612,
0.226586,0.226722,0.226759,
0.227266,0.227623,0.226994,
0.230694,0.230595,0.230913,
0.224984,0.225609,0.225094,
0.223686,0.224409,0.223403,
0.231959,0.231117,0.232094,
0.225132,0.224375,0.225365,
0.227009,0.226826,0.227408,
0.227061,0.227323,0.227996,
0.231572,0.230589,0.230283,
0.225270,0.225059,0.224981,
0.223360,0.223966,0.223331,
0.230855,0.231955,0.231822,
0.224996,0.224681,0.225923,
0.225535,0.226715,0.226658,
0.226685,0.226655,0.227772,
0.230728,0.231771,0.231164,
0.224548,0.225508,0.225629,
0.223278,0.222799,0.224072,
0.231142,0.231108,0.231552,
0.226121,0.224216,0.224376,
0.226854,0.226175,0.226202,
0.226736,0.226440,0.227246,
0.231693,0.231016,0.231858,
0.223810,0.223862,0.224548,
0.222690,0.224216,0.223633,
0.230928,0.231022,0.231086,
0.225237,0.225076,0.225636,
0.227307,0.226491,0.226713,
0.226412,0.227535,0.226743,
0.229557,0.230236,0.230483,
0.224961,0.225421,0.224782,
0.223977,0.223194,0.223688,
0.231495,0.231753,0.232343,
0.222983,0.225039,0.223276,
0.227317,0.226059,0.226810,
0.228463,0.228361,0.229417,
0.229336,0.229057,0.227655,
0.226100,0.226061,0.225845,
0.223773,0.223537,0.224578,
0.231832,0.232449,0.232088,
0.223965,0.223789,0.223738,
0.225976,0.225543,0.225849,
0.229335,0.228956,0.229126,
0.228475,0.227833,0.228140,
0.225408,0.224974,0.225811,
0.224246,0.224188,0.224258,
