Irms1,Irms2,Irms3,
0.231256,0.230852,0.230697,
0.227170,0.228054,0.227653,
0.231716,0.231290,0.231215,
0.231693,0.232695,0.232020,
0.230344,0.231156,0.232131,
0.230772,0.231410,0.231633,
0.229437,0.231072,0.231047,
0.228360,0.225802,0.225181,
0.234237,0.233088,0.231663,
0.231007,0.231377,0.231527,
0.231691,0.231733,0.231616,
0.231506,0.231079,0.231067,
0.228799,0.228929,0.230289,
0.228984,0.228979,0.229229,
0.231709,0.231700,0.232844,
0.231125,0.230186,0.230750,
0.233355,0.234439,0.233679,
0.230919,0.231550,0.230804,
0.230654,0.230920,0.231530,
0.234289,0.234137,0.233991,
0.232971,0.232985,0.232063,
0.231904,0.231347,0.232041,
0.232158,0.231541,0.231217,
0.230584,0.229437,0.230294,
0.233078,0.231058,0.231150,
0.237063,0.237289,0.237040,
0.230441,0.232501,0.232376,
0.232772,0.230859,0.231686,
0.231095,0.229760,0.229080,
0.231545,0.231474,0.231914,
0.231159,0.230919,0.231181,
0.234601,0.235233,0.234778,
0.232622,0.231935,0.232186,
0.231097,0.231101,0.231002,
0.230474,0.230107,0.228849,
0.229024,0.229131,0.229117,
0.230399,0.230249,0.229496,
0.231511,0.230527,0.230130,
0.233158,0.233553,0.233739,
0.232620,0.230423,0.230542,
0.229500,0.229784,0.228964,
0.230294,0.231085,0.232512,
0.231295,0.230942,0.231184,
0.231155,0.230968,0.231114,
0.227945,0.227176,0.227761,
0.232583,0.233171,0.232033,
0.230986,0.230415,0.231773,
0.231147,0.230556,0.230781,
0.230786,0.230566,0.230592,
0.231821,0.230607,0.231179,
0.225515,0.224397,0.224612,
0.232957,0.232384,0.231399,
0.230785,0.231669,0.231525,
0.231922,0.231233,0.230632,
0.231193,0.230622,0.231242,
0.230575,0.229272,0.229949,
0.229560,0.228064,0.228569,
0.232131,0.232722,0.232657,
0.232329,0.230599,0.230164,
0.230050,0.230611,0.231707,
0.231292,0.230889,0.230171,
0.231268,0.231100,0.231762,
0.232043,0.232129,0.233880,
0.232213,0.232386,0.232824,
0.231014,0.231316,0.231175,
0.230921,0.230953,0.232548,
0.231399,0.230845,0.231832,
0.231409,0.230917,0.232814,
0.234631,0.236535,0.238782,
0.232275,0.232527,0.232956,
0.231278,0.231484,0.230843,
0.230506,0.231167,0.230973,
0.228018,0.229079,0.229590,
0.230877,0.231126,0.231595,
0.230320,0.230214,0.229150,
0.232024,0.231944,0.232261,
0.231530,0.230175,0.229017,
0.231281,0.230857,0.230899,
0.231844,0.231242,0.231271,
0.233997,0.233174,0.232476,
0.229890,0.229297,0.230019,
0.231858,0.231574,0.233572,
0.231128,0.232102,0.232481,
0.232036,0.231096,0.230731,
0.232858,0.230376,0.230406,
0.233228,0.231244,0.231413,
0.230810,0.230816,0.231653,
0.224756,0.224329,0.225131,
0.228515,0.229502,0.231492,
0.231254,0.229952,0.230180,
0.229668,0.229419,0.231778,
0.234610,0.233833,0.232448,
0.232197,0.230846,0.231255,
0.226094,0.225931,0.225789,
0.231605,0.231129,0.232483,
0.231170,0.230847,0.231258,
0.232333,0.232037,0.232280,
0.234101,0.233674,0.232334,
0.231039,0.231109,0.231004,
0.228171,0.228023,0.228669,
0.233818,0.233926,0.233463,
0.230995,0.230650,0.231567,
0.230768,0.230503,0.232038,
0.232117,0.231389,0.231727,
0.230717,0.229923,0.230799,
0.235163,0.234324,0.233667,
0.232517,0.232523,0.232753,
0.232033,0.232623,0.232493,
0.231025,0.230814,0.230855,
0.231294,0.231517,0.231732,
0.230934,0.230474,0.231218,
0.232388,0.233592,0.230532,
0.233407,0.233789,0.232862,
0.230999,0.231179,0.232670,
0.230764,0.231475,0.231965,
0.230157,0.230370,0.230965,
0.231967,0.231683,0.231710,
0.235038,0.234869,0.235553,
0.234249,0.235197,0.236227,
0.232118,0.233047,0.233416,
0.231461,0.230911,0.228969,
0.232060,0.232731,0.231933,
0.231171,0.232369,0.232284,
0.229862,0.228973,0.228578,
0.233050,0.233834,0.233846,
0.231455,0.231230,0.231992,
0.231301,0.232129,0.232096,
0.231944,0.231937,0.232245,
0.230139,0.230557,0.229346,
0.231319,0.231054,0.231777,
0.227529,0.227675,0.228482,
0.232166,0.232398,0.232839,
0.231636,0.231671,0.233159,
0.229600,0.230800,0.231149,
0.231532,0.231695,0.231362,
0.231698,0.231494,0.231304,
0.222175,0.223396,0.223646,
0.231345,0.232116,0.232778,
0.232245,0.231878,0.231310,
0.230786,0.231188,0.230744,
0.231819,0.232135,0.231986,
0.232358,0.232294,0.231645,
0.230012,0.229071,0.228317,
0.231091,0.230252,0.231135,
0.231614,0.231454,0.231141,
0.228884,0.231241,0.231014,
0.231584,0.232952,0.232560,
0.230640,0.229550,0.230068,
0.234632,0.233692,0.233244,
0.232837,0.232042,0.232191,
0.232321,0.231661,0.231721,
0.231432,0.231217,0.231945,
0.230360,0.229120,0.230324,
0.230302,0.228957,0.229361,
0.236237,0.236405,0.236771,
0.233266,0.232722,0.232247,
0.230891,0.231583,0.231473,
0.231332,0.230500,0.230583,
0.231371,0.230210,0.231024,
0.230615,0.230751,0.231260,
0.231138,0.230327,0.231151,
0.233011,0.233123,0.233050,
0.231472,0.230510,0.230928,
0.230810,0.230835,0.232258,
0.228317,0.230878,0.231057,
0.230418,0.229466,0.229418,
0.229483,0.229027,0.228901,
0.231330,0.231613,0.233134,
0.231065,0.230930,0.231413,
0.231102,0.230718,0.230966,
0.232203,0.231647,0.231877,
0.232459,0.232374,0.233019,
0.231346,0.231568,0.232359,
0.229071,0.227315,0.227037,
0.231128,0.231581,0.231966,
0.230884,0.230823,0.232188,
0.230581,0.230359,0.230468,
0.230605,0.230785,0.231406,
0.230633,0.230242,0.229909,
0.221965,0.222488,0.223248,
0.232559,0.231566,0.232040,
0.230608,0.231146,0.231565,
0.230230,0.231142,0.231620,
0.231513,0.229694,0.231258,
0.230764,0.231276,0.231026,
0.228868,0.228299,0.228839,
0.232111,0.231645,0.231738,
0.230955,0.230877,0.232211,
0.230860,0.229572,0.229195,
0.232674,0.231636,0.230734,
0.232073,0.230406,0.230925,
0.233404,0.234796,0.234495,
0.231042,0.231535,0.232380,
0.231463,0.231258,0.231894,
0.232217,0.231915,0.232114,
0.230922,0.231813,0.231410,
0.230892,0.230906,0.232224,
0.237330,0.235863,0.237338,
0.232609,0.232589,0.232019,
0.231525,0.231704,0.230965,
0.233950,0.233027,0.229482,
0.231840,0.231823,0.231615,
0.231059,0.230905,0.231397,
0.234311,0.235123,0.235076,
0.233260,0.232671,0.233462,
0.232349,0.231555,0.231614,
0.231917,0.230800,0.231192,
0.230750,0.230749,0.232118,
0.231008,0.231318,0.231370,
0.227851,0.228272,0.228951,
0.231562,0.231920,0.233885,
0.233525,0.232094,0.233197,
0.232178,0.232528,0.231553,
0.230454,0.231335,0.231386,
0.230650,0.230773,0.231295,
0.231217,0.231627,0.232521,
0.227778,0.227639,0.227493,
0.230861,0.231029,0.230888,
0.229826,0.230132,0.231613,
0.231992,0.232607,0.234082,
0.231511,0.231227,0.230648,
0.231107,0.230633,0.231341,
0.223251,0.224361,0.224625,
0.231803,0.230387,0.230971,
0.230283,0.230951,0.229771,
0.231273,0.231914,0.232318,
0.231552,0.230855,0.231425,
0.231452,0.231945,0.232586,
0.229010,0.228544,0.229541,
0.231155,0.231852,0.231203,
0.229412,0.229762,0.231453,
0.231130,0.231952,0.231047,
0.233691,0.231528,0.231607,
0.230892,0.231127,0.230619,
0.233673,0.233809,0.234102,
0.232167,0.231847,0.231722,
0.231010,0.231807,0.230773,
0.231254,0.230418,0.231438,
0.231122,0.231055,0.231330,
0.230533,0.230542,0.232027,
0.230446,0.230778,0.231263,
0.232858,0.233190,0.233720,
0.229801,0.229886,0.230552,
0.232092,0.231054,0.230028,
0.231812,0.231562,0.232459,
0.230517,0.231085,0.230973,
0.233372,0.233677,0.234095,
0.232818,0.232192,0.232185,
0.230577,0.232332,0.231787,
0.230236,0.230633,0.231772,
0.229937,0.230038,0.229613,
0.230552,0.230932,0.231829,
0.225849,0.226069,0.225173,
0.233520,0.233679,0.234068,
0.231822,0.231110,0.231803,
0.232420,0.232132,0.232041,
0.231807,0.230637,0.231039,
0.231256,0.231854,0.232288,
0.230911,0.230398,0.232545,
0.227957,0.227124,0.227482,
0.231761,0.231429,0.230933,
0.231182,0.230278,0.232516,
0.233303,0.232095,0.231815,
0.230869,0.230496,0.229493,
0.230600,0.230768,0.230522,
0.225097,0.223636,0.226542,
0.232554,0.231193,0.232153,
0.229996,0.230942,0.229593,
0.231972,0.231957,0.231868,
0.230748,0.230357,0.230527,
