Irms1,Irms2,Irms3,
0.224849,0.224185,0.223877,
0.244920,0.246239,0.248036,
0.251982,0.250809,0.249449,
0.220530,0.220085,0.219351,
0.222042,0.222424,0.221378,
0.246316,0.247510,0.248841,
0.236478,0.236335,0.236513,
0.237917,0.237953,0.238333,
0.234030,0.235388,0.236564,
0.237366,0.238023,0.236415,
0.235689,0.236346,0.235083,
0.235719,0.235118,0.235956,
0.235346,0.235519,0.236104,
0.236086,0.236848,0.236572,
0.235590,0.235989,0.236095,
0.233985,0.234970,0.235313,
0.236629,0.236296,0.236687,
0.236242,0.236485,0.236970,
0.235628,0.235892,0.235915,
0.238116,0.237492,0.238134,
0.235623,0.236820,0.236930,
0.236503,0.235885,0.235920,
0.235444,0.235935,0.233963,
0.235600,0.235726,0.235693,
0.236136,0.236616,0.236466,
0.239856,0.239132,0.238796,
0.236016,0.236175,0.236043,
0.237345,0.238555,0.238422,
0.236845,0.236431,0.237649,
0.235459,0.236212,0.236407,
0.236059,0.236747,0.236477,
0.237477,0.237707,0.239722,
0.237011,0.237351,0.238110,
0.236265,0.236293,0.236321,
0.235316,0.234291,0.234846,
0.234883,0.234750,0.235435,
0.236275,0.237728,0.237099,
0.233368,0.232633,0.232890,
0.237638,0.237003,0.238290,
0.237554,0.238314,0.238078,
0.234085,0.233748,0.233730,
0.236237,0.235406,0.235681,
0.235316,0.235771,0.236432,
0.236093,0.235849,0.235870,
0.231782,0.232794,0.233569,
0.236662,0.236898,0.236065,
0.237178,0.237532,0.237240,
0.236547,0.236568,0.236208,
0.234158,0.234156,0.234378,
0.237028,0.236061,0.235685,
0.239278,0.238634,0.238356,
0.236103,0.236159,0.235984,
0.233106,0.233155,0.234224,
0.236506,0.235788,0.236448,
0.233990,0.234928,0.235381,
0.238697,0.238144,0.238945,
0.238226,0.239036,0.237990,
0.235409,0.236217,0.236738,
0.236329,0.235811,0.236195,
0.235712,0.236950,0.238033,
0.235895,0.235151,0.235494,
0.237615,0.237415,0.237958,
0.239101,0.239149,0.239056,
0.236854,0.238379,0.239141,
0.234913,0.234429,0.234827,
0.237206,0.237275,0.236777,
0.236797,0.236075,0.235834,
0.237559,0.237173,0.238739,
0.240359,0.240243,0.240389,
0.232614,0.233238,0.234789,
0.240728,0.240333,0.241435,
0.235971,0.236249,0.236871,
0.235346,0.234871,0.235663,
0.237019,0.235982,0.236599,
0.237601,0.238287,0.238298,
0.235960,0.235227,0.235179,
0.236179,0.236239,0.236079,
0.235144,0.235694,0.235895,
0.234119,0.233275,0.233947,
0.235046,0.234735,0.234959,
0.232930,0.233208,0.232461,
0.237508,0.237522,0.236769,
0.236857,0.237163,0.237800,
0.234561,0.233759,0.233688,
0.236830,0.236985,0.236550,
0.234155,0.235603,0.236353,
0.233586,0.234058,0.233400,
0.236736,0.235100,0.235344,
0.236119,0.235656,0.235919,
0.235930,0.235438,0.235475,
0.235384,0.236575,0.236333,
0.235174,0.234905,0.234953,
0.233638,0.233984,0.234620,
0.231939,0.232849,0.232759,
0.236250,0.236257,0.236486,
0.235825,0.235613,0.234916,
0.234137,0.234618,0.234804,
0.233680,0.233823,0.234241,
0.235564,0.236175,0.236302,
0.235389,0.235600,0.235862,
0.236624,0.236017,0.235295,
0.234738,0.235817,0.235663,
0.234675,0.235569,0.234876,
0.235302,0.235386,0.235856,
0.236874,0.237700,0.236197,
0.239491,0.239787,0.239519,
0.236198,0.236171,0.236692,
0.235097,0.234745,0.235570,
0.236850,0.237379,0.237961,
0.235911,0.235431,0.236412,
0.236061,0.236248,0.236516,
0.239449,0.240119,0.240097,
0.235911,0.236209,0.236704,
0.235712,0.234646,0.235002,
0.235997,0.236729,0.236352,
0.234730,0.234739,0.235275,
0.235722,0.235978,0.235716,
0.236140,0.237003,0.236413,
0.236142,0.236116,0.236917,
0.235603,0.234800,0.235446,
0.234167,0.233666,0.234009,
0.234637,0.234787,0.235545,
0.236493,0.236179,0.235864,
0.232666,0.232994,0.232789,
0.236774,0.236883,0.235803,
0.235711,0.234692,0.235540,
0.236476,0.236572,0.236875,
0.235221,0.235086,0.235532,
0.237287,0.236836,0.236972,
0.230997,0.231653,0.232284,
0.236136,0.234867,0.235835,
0.236236,0.236798,0.237138,
0.235126,0.235721,0.235797,
0.233924,0.234544,0.234119,
0.235210,0.235284,0.235662,
0.236217,0.236500,0.236266,
0.236207,0.236972,0.237016,
0.236007,0.235643,0.236014,
0.233385,0.233715,0.233894,
0.235705,0.236209,0.236868,
0.233326,0.235267,0.235639,
0.234853,0.234753,0.234309,
0.236969,0.237616,0.237127,
0.236223,0.235697,0.235786,
0.233404,0.233841,0.234110,
0.239174,0.237256,0.236807,
0.235711,0.235619,0.236115,
0.236282,0.237038,0.236871,
0.239849,0.239570,0.239610,
0.236118,0.236225,0.236127,
0.234559,0.234550,0.234040,
0.237533,0.238223,0.237487,
0.235963,0.236029,0.236640,
0.234633,0.234965,0.234245,
0.241108,0.240871,0.240906,
0.233793,0.233916,0.233851,
0.235443,0.234738,0.234686,
0.236023,0.235748,0.236263,
0.236099,0.235591,0.235084,
0.236426,0.237239,0.237388,
0.231306,0.230492,0.231879,
0.235625,0.236144,0.235969,
0.234379,0.235285,0.235145,
0.235689,0.235952,0.235741,
0.237581,0.237433,0.237007,
0.234221,0.234364,0.233927,
0.232176,0.230817,0.232256,
0.237239,0.237702,0.235307,
0.234522,0.235730,0.236283,
0.233827,0.233377,0.235249,
0.235873,0.236026,0.236223,
0.235738,0.235608,0.236110,
0.232525,0.233426,0.233535,
0.234408,0.233868,0.233685,
0.235821,0.235467,0.235845,
0.236464,0.236388,0.235470,
0.235228,0.236490,0.235609,
0.234349,0.233942,0.234243,
0.235730,0.236155,0.236371,
0.244494,0.245013,0.245221,
0.233870,0.233531,0.233429,
0.236239,0.236649,0.237943,
0.236263,0.236991,0.236032,
0.236099,0.236786,0.236786,
0.236247,0.236312,0.235967,
0.239024,0.239158,0.239863,
0.234045,0.234064,0.234307,
0.234528,0.234025,0.235591,
0.237305,0.237175,0.236217,
0.235761,0.236012,0.236483,
0.234333,0.233702,0.234358,
0.240766,0.241878,0.241433,
0.238419,0.235984,0.235214,
0.234683,0.232924,0.235151,
0.234858,0.235465,0.234882,
0.235125,0.234061,0.233452,
0.236869,0.236354,0.236720,
0.239659,0.239707,0.239134,
0.235343,0.235174,0.235455,
0.236089,0.235295,0.236435,
0.235747,0.235451,0.234572,
0.235687,0.237029,0.236789,
0.237844,0.237259,0.237091,
0.235357,0.235314,0.235615,
0.234537,0.234857,0.235189,
0.237321,0.237718,0.236785,
0.237365,0.237203,0.236721,
0.236035,0.235821,0.236597,
0.236388,0.236104,0.235942,
0.231681,0.233094,0.233145,
0.235214,0.235457,0.235717,
0.235194,0.235274,0.235386,
0.237224,0.237190,0.236876,
0.234306,0.234748,0.236139,
0.233641,0.234151,0.235023,
0.232842,0.232999,0.231783,
0.236641,0.235784,0.237090,
0.234441,0.234142,0.233851,
0.235227,0.235395,0.234821,
0.235230,0.236309,0.235788,
0.235767,0.234392,0.235209,
0.236511,0.236425,0.236525,
0.236860,0.237426,0.236894,
0.236005,0.235173,0.236139,
0.236159,0.236176,0.236048,
0.237191,0.236693,0.235718,
0.235604,0.235975,0.236613,
0.235342,0.235639,0.236105,
0.240901,0.239047,0.239078,
0.236610,0.236018,0.236802,
0.235053,0.233599,0.235344,
0.235016,0.235039,0.235870,
0.234342,0.233664,0.233946,
0.235533,0.234856,0.235442,
0.236232,0.236488,0.236299,
0.240186,0.240246,0.240214,
0.236895,0.236375,0.237128,
0.234946,0.235587,0.234848,
0.235472,0.235338,0.235753,
0.234205,0.233806,0.233077,
0.236182,0.237479,0.239228,
0.233325,0.234506,0.235230,
0.234688,0.235001,0.234350,
0.236225,0.236520,0.236921,
0.236173,0.236785,0.236376,
0.237456,0.236738,0.236823,
0.236827,0.236002,0.236414,
0.235952,0.236476,0.236646,
0.235835,0.235534,0.235742,
0.235097,0.233562,0.234284,
0.237912,0.237812,0.236510,
0.237158,0.236409,0.236161,
0.232044,0.231834,0.232276,
0.232564,0.232373,0.232570,
0.233983,0.233124,0.234106,
0.236458,0.236801,0.236547,
0.235244,0.234987,0.233931,
0.234827,0.234543,0.234398,
0.231769,0.231571,0.231734,
0.233907,0.233553,0.233562,
0.234095,0.233785,0.233860,
0.235504,0.235482,0.235976,
0.234786,0.235524,0.234883,
0.237233,0.236684,0.236140,
0.233095,0.232589,0.232781,
0.233799,0.234234,0.233197,
0.235795,0.234517,0.234824,
0.234959,0.234964,0.235429,
0.232579,0.235064,0.235589,
0.239399,0.239660,0.239201,
0.237304,0.236681,0.236854,
0.242020,0.241796,0.242898,
0.236070,0.237004,0.236489,
0.235798,0.234722,0.235883,
0.233057,0.232861,0.233380,
0.235502,0.236047,0.234956,
0.235185,0.234343,0.234647,
0.237892,0.238166,0.238766,
0.236122,0.236869,0.237338,
0.236571,0.236883,0.238051,
0.237480,0.237562,0.236630,
0.238348,0.238392,0.238097,
0.235847,0.235919,0.236108,
0.238988,0.239289,0.239268,
0.234576,0.234878,0.234460,
0.236214,0.235621,0.235946,
0.236717,0.237542,0.237747,
0.235270,0.235453,0.235879,
0.231021,0.232122,0.233021,
0.231331,0.231022,0.231477,
0.237059,0.237983,0.237634,
0.236617,0.235794,0.235604,
0.237880,0.238214,0.237714,
0.235511,0.235779,0.236463,
0.232683,0.233470,0.234978,
0.233215,0.233758,0.235009,
0.234982,0.235982,0.235278,
0.233056,0.233428,0.236543,
0.237773,0.237933,0.237941,
0.234690,0.234563,0.234973,
0.237510,0.236535,0.237021,
0.236070,0.235411,0.235391,
0.234075,0.233805,0.234020,
0.235656,0.235372,0.234059,
0.233805,0.233548,0.232418,
0.235676,0.235290,0.235890,
0.235400,0.236454,0.236343,
0.233610,0.234780,0.235893,
0.242034,0.242237,0.242213,
0.236773,0.236515,0.236219,
0.236810,0.236696,0.236975,
0.235428,0.235198,0.235492,
0.236164,0.235958,0.236040,
0.235966,0.236547,0.236939,
0.237407,0.237217,0.237593,
0.234673,0.235002,0.235281,
0.235733,0.235393,0.234970,
0.234951,0.234685,0.235384,
0.235181,0.234534,0.235465,
0.235197,0.236311,0.236202,
0.241722,0.240767,0.240970,
0.234837,0.234720,0.235366,
0.234408,0.234163,0.232911,
0.235769,0.236104,0.236711,
0.235126,0.235873,0.237106,
0.230414,0.231361,0.233562,
0.233220,0.232353,0.232838,
0.235189,0.235218,0.235677,
0.235051,0.235369,0.234972,
0.237835,0.237012,0.236803,
0.235960,0.235983,0.236731,
0.233438,0.233296,0.233197,
0.236770,0.235146,0.234430,
0.236556,0.236129,0.237452,
0.233678,0.235350,0.235968,
0.233711,0.233421,0.232802,
0.236630,0.236886,0.237145,
0.235178,0.235868,0.235778,
0.236899,0.235999,0.236994,
0.235189,0.235002,0.234873,
0.237460,0.238176,0.236796,
0.235078,0.235213,0.235058,
0.233940,0.234394,0.233748,
0.233301,0.234764,0.235093,
0.230591,0.230309,0.231718,
0.232817,0.232572,0.233974,
0.233897,0.234313,0.233994,
0.233185,0.232941,0.233217,
0.235093,0.233758,0.233839,
0.234808,0.234678,0.235340,
0.231574,0.232517,0.234525,
0.236124,0.236463,0.236831,
0.233586,0.234898,0.234811,
0.233175,0.232994,0.233307,
0.237181,0.236951,0.237750,
0.235540,0.235858,0.235681,
0.240603,0.241039,0.241138,
0.236830,0.236130,0.236972,
0.234242,0.235535,0.235733,
0.238889,0.237864,0.238870,
0.237239,0.236808,0.237368,
0.235502,0.236009,0.235466,
0.235540,0.235140,0.236184,
